country,year,cases,sex,age_group,data_status
AD,2000,0.0,,,reported
AE,2000,2.0,,,reported
AF,2000,52.0,,,reported
AG,2000,0.0,,,reported
AL,2000,2.0,,,reported
AM,2000,2.0,,,reported
AN,2000,0.0,,,reported
AO,2000,186.0,,,reported
AR,2000,97.0,,,reported
AS,2000,0.0,,,missing
AD,2000,0.0,,,reported
AE,2000,4.0,,,reported
AF,2000,228.0,,,reported
AG,2000,0.0,,,reported
AL,2000,19.0,,,reported
AM,2000,152.0,,,reported
AN,2000,0.0,,,reported
AO,2000,999.0,,,reported
AR,2000,278.0,,,reported
AS,2000,0.0,,,missing
AD,2000,1.0,,,reported
AE,2000,4.0,,,reported
AF,2000,183.0,,,reported
AG,2000,0.0,,,reported
AL,2000,21.0,,,reported
AM,2000,130.0,,,reported
AN,2000,1.0,,,reported
AO,2000,1003.0,,,reported
AR,2000,594.0,,,reported
AS,2000,0.0,,,missing
AD,2000,0.0,,,reported
AE,2000,6.0,,,reported
AF,2000,149.0,,,reported
AG,2000,0.0,,,reported
AL,2000,14.0,,,reported
AM,2000,131.0,,,reported
AN,2000,2.0,,,reported
AO,2000,912.0,,,reported
AR,2000,402.0,,,reported
AS,2000,0.0,,,missing
AD,2000,0.0,,,reported
AE,2000,5.0,,,reported
AF,2000,129.0,,,reported
AG,2000,0.0,,,reported
AL,2000,24.0,,,reported
AM,2000,63.0,,,reported
AN,2000,0.0,,,reported
AO,2000,482.0,,,reported
AR,2000,419.0,,,reported
AS,2000,1.0,,,reported
AD,2000,0.0,,,reported
AE,2000,12.0,,,reported
AF,2000,94.0,,,reported
AG,2000,0.0,,,reported
AL,2000,19.0,,,reported
AM,2000,26.0,,,reported
AN,2000,0.0,,,reported
AO,2000,312.0,,,reported
AR,2000,368.0,,,reported
AS,2000,1.0,,,reported
AD,2000,0.0,m,65,reported
AE,2000,10.0,m,65,reported
AF,2000,80.0,m,65,reported
AG,2000,1.0,m,65,reported
AL,2000,16.0,m,65,reported
AM,2000,21.0,m,65,reported
AN,2000,0.0,m,65,reported
AO,2000,194.0,m,65,reported
AR,2000,330.0,m,65,reported
AS,2000,0.0,m,65,missing
AD,2000,0.0,,,missing
AE,2000,0.0,,,missing
AF,2000,0.0,,,missing
AG,2000,0.0,,,missing
AL,2000,0.0,,,missing
AM,2000,0.0,,,missing
AN,2000,0.0,,,missing
AO,2000,0.0,,,missing
AR,2000,0.0,,,missing
AS,2000,0.0,,,missing
AD,2000,0.0,,,missing
AE,2000,3.0,,,reported
AF,2000,93.0,,,reported
AG,2000,1.0,,,reported
AL,2000,3.0,,,reported
AM,2000,1.0,,,reported
AN,2000,0.0,,,reported
AO,2000,247.0,,,reported
AR,2000,121.0,,,reported
AS,2000,0.0,,,missing
