Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1795561,ROUND,0.3,SI2,K,EX,VG,EX,F,4.32-4.34×2.69,655.38
1789678,ROUND,0.3,VS1,L,GD,VG,VG,N,4.36-4.40×2.56,686.87
1791701,ROUND,0.3,SI1,K,EX,VG,EX,N,4.28-4.31×2.69,692.93
1799570,ROUND,0.3,SI1,L,VG,VG,VG,ST,4.27-4.30×2.68,693.42
1774058,ROUND,0.4,VS2,Q-R,EX,EX,EX,N,4.72-4.75×2.91,701.01
1565775,ROUND,0.23,SI1,H,GD,GD,FR,N,3.88-3.91×2.42,703.36
1565775,ROUND,0.23,SI1,H,GD,GD,FR,N,3.88-3.91×2.42,703.36
1782527,ROUND,0.3,VS1,N,EX,EX,VG,M,4.23-4.27×2.66,709.66
1781010,ROUND,0.4,VS2,O-P,EX,EX,VG,N,4.66-4.70×2.97,715.21
1773437,ROUND,0.3,SI2,J,VG,VG,GD,N,4.28-4.33×2.60,715.73
1592733,ROUND,0.5,SI2,O-P,VG,EX,VG,F,4.94-4.98×3.16,716.67
1784917,ROUND,0.32,SI1,N,EX,EX,EX,N,4.38-4.40×2.75,727.92
1779726,ROUND,0.3,SI1,L,VG,EX,EX,N,4.36-4.37×2.55,731.47
1795548,ROUND,0.3,SI1,L,VG,EX,GD,N,4.25-4.28×2.63,731.96
1790936,ROUND,0.3,SI1,L,EX,EX,EX,F,4.29-4.31×2.66,735.03
1788893,ROUND,0.3,VS2,L,VG,VG,GD,F,4.22-4.27×2.71,736.01
1752325,ROUND,0.3,VS2,L,VG,EX,EX,N,4.19-4.21×2.68,736.5
1789798,ROUND,0.3,SI1,K,VG,EX,GD,F,4.26-4.28×2.59,737.55
1788865,ROUND,0.3,VS1,L,EX,VG,EX,ST,4.35-4.37×2.60,737.55
1789799,ROUND,0.3,SI1,L,EX,EX,VG,N,4.26-4.29×2.68,740.1
1791650,ROUND,0.3,VS2,L,VG,EX,VG,F,4.18-4.23×2.65,741.61
1761451,ROUND,0.3,SI1,L,EX,EX,EX,F,4.35-4.37×2.67,743.11
1794012,ROUND,0.3,VS2,M,EX,EX,EX,F,4.28-4.31×2.69,743.11
1787729,ROUND,0.3,SI1,K,EX,EX,EX,M,4.26-4.29×2.66,743.62
1752323,ROUND,0.31,VS2,L,VG,EX,VG,N,4.20-4.25×2.71,744.56
1645309,ROUND,0.18,VVS1,E,VG,EX,VG,F,3.57-3.62×2.21,745
1787730,ROUND,0.3,SI1,L,EX,EX,EX,F,4.32-4.34×2.66,745.68
1781156,ROUND,0.3,SI1,L,EX,EX,VG,F,4.34-4.38×2.61,745.68
